Time	tank shape = vertical	VALVE 172
	LEVEL	POSITION
		
		
6.36	16.8514	50
6.37	16.8644	50
6.38	16.8774	50
6.39	16.8904	50
6.4	16.9034	50
6.41	16.9163	50
6.42	16.9292	50
6.43	16.9421	50
6.44	16.955	50
6.45	16.9678	50
6.46	16.9807	50
6.47	16.9935	50
6.48	17.0063	50
6.49	17.019	50
6.5	17.0318	50
6.51	17.0445	50
6.52	17.0572	50
6.53	17.0699	50
6.54	17.0826	50
6.55	17.0952	50
6.56	17.1078	50
6.57	17.1204	50
6.58	17.133	50
6.59	17.1456	50
6.6	17.1582	50
6.61	17.1707	50
6.62	17.1832	50
6.63	17.1957	50
6.64	17.2081	50
6.65	17.2206	50
6.66	17.233	50
6.67	17.2454	50
6.68	17.2578	50
6.69	17.2702	50
6.7	17.2825	50
6.71	17.2948	50
6.72	17.3071	50
6.73	17.3194	50
6.74	17.3317	50
6.75	17.344	50
6.76	17.3562	50
6.77	17.3684	50
6.78	17.3806	50
6.79	17.3928	50
6.8	17.4049	50
6.81	17.417	50
6.82	17.4292	50
6.83	17.4413	50
6.84	17.4533	50
6.85	17.4654	50
6.86	17.4774	50
6.87	17.4894	50
6.88	17.5014	50
6.89	17.5134	50
6.9	17.5254	50
6.91	17.5373	50
6.92	17.5492	50
6.93	17.5611	50
6.94	17.573	50
6.95	17.5849	50
6.96	17.5967	50
6.97	17.6086	50
6.98	17.6204	50
6.99	17.6322	50
7	17.644	50
7.01	17.6557	50
7.02	17.6674	50
7.03	17.6792	50
7.04	17.6909	50
7.05	17.7025	50
7.06	17.7142	50
7.07	17.7258	50
7.08	17.7375	50
7.09	17.7491	50
7.1	17.7607	50
7.11	17.7722	50
7.12	17.7838	50
7.13	17.7953	50
7.14	17.8068	50
7.15	17.8183	50
7.16	17.8298	50
7.17	17.8413	50
7.18	17.8527	50
7.19	17.8641	50
7.2	17.8756	50
7.21	17.8869	50
7.22	17.8983	50
7.23	17.9097	50
7.24	17.921	50
7.25	17.9323	50
7.26	17.9436	50
7.27	17.9549	50
7.28	17.9662	50
7.29	17.9774	50
7.3	17.9887	50
7.31	17.9999	50
7.32	18.0111	50
7.33	18.0223	50
7.34	18.0334	50
7.35	18.0446	50
7.36	18.0557	50
7.37	18.0668	50
7.38	18.0779	50
7.39	18.089	50
7.4	18.1	50
7.41	18.1111	50
7.42	18.1221	50
7.43	18.1331	50
7.44	18.1441	50
7.45	18.155	50
7.46	18.166	50
7.47	18.1769	50
7.48	18.1879	50
7.49	18.1988	50
7.5	18.2097	50
7.51	18.2205	50
7.52	18.2314	50
7.53	18.2422	50
7.54	18.253	50
7.55	18.2638	50
7.56	18.2746	50
7.57	18.2854	50
7.58	18.2961	50
7.59	18.3069	50
7.6	18.3176	50
7.61	18.3283	50
7.62	18.339	50
7.63	18.3496	50
7.64	18.3603	50
7.65	18.3709	50
7.66	18.3816	50
7.67	18.3922	50
7.68	18.4027	50
7.69	18.4133	50
7.7	18.4239	50
7.71	18.4344	50
7.72	18.4449	50
7.73	18.4554	50
7.74	18.4659	50
7.75	18.4764	50
7.76	18.4868	50
7.77	18.4973	50
7.78	18.5077	50
7.79	18.5181	50
7.8	18.5285	50
7.81	18.5389	50
7.82	18.5493	50
7.83	18.5596	50
7.84	18.5699	50
7.85	18.5802	50
7.86	18.5905	50
7.87	18.6008	50
7.88	18.6111	50
7.89	18.6213	50
7.9	18.6316	50
7.91	18.6418	50
7.92	18.652	50
7.93	18.6622	50
7.94	18.6723	50
7.95	18.6825	50
7.96	18.6926	50
7.97	18.7028	50
7.98	18.7129	50
7.99	18.723	50
8	18.733	50
8.01	18.7431	50
8.02	18.7531	50
8.03	18.7632	50
8.04	18.7732	50
8.05	18.7832	50
8.06	18.7932	50
8.07	18.8032	50
8.08	18.8131	50
8.09	18.823	50
8.1	18.833	50
8.11	18.8429	50
8.12	18.8528	50
8.13	18.8627	50
8.14	18.8725	50
8.15	18.8824	50
8.16	18.8922	50
8.17	18.902	50
8.18	18.9118	50
8.19	18.9216	50
8.2	18.9314	50
8.21	18.9411	50
8.22	18.9509	50
8.23	18.9606	50
8.24	18.9703	50
8.25	18.98	50
8.26	18.9897	50
8.27	18.9994	50
8.28	19.009	50
8.29	19.0187	50
8.3	19.0283	50
8.31	19.0379	50
8.32	19.0475	50
8.33	19.0571	50
8.34	19.0667	50
8.35	19.0762	50
8.36	19.0858	50
8.37	19.0953	50
8.38	19.1048	50
8.39	19.1143	50
8.4	19.1238	50
8.41	19.1332	50
8.42	19.1427	50
8.43	19.1521	50
8.44	19.1616	50
8.45	19.171	50
8.46	19.1804	50
8.47	19.1898	50
8.48	19.1991	50
8.49	19.2085	50
8.5	19.2178	50
8.51	19.2271	50
8.52	19.2364	50
8.53	19.2457	50
8.54	19.255	50
8.55	19.2643	50
8.56	19.2735	50
8.57	19.2828	50
8.58	19.292	50
8.59	19.3012	50
8.6	19.3104	50
8.61	19.3196	50
8.62	19.3288	50
8.63	19.3379	50
8.64	19.3471	50
8.65	19.3562	50
8.66	19.3653	50
8.67	19.3744	50
8.68	19.3835	50
8.69	19.3926	50
8.7	19.4017	50
8.71	19.4107	50
8.72	19.4197	50
8.73	19.4288	50
