Time	VALVE 368	#5 Tank shape = vertical
	POSITION	OUT1
		TEMPERATURE
		`C
20.2	50	47.2068
20.21	50	47.2068
20.22	50	47.2068
20.23	50	47.2068
20.24	50	47.2068
20.25	50	47.2068
20.26	50	47.2068
20.27	50	47.2068
20.28	50	47.2068
20.29	50	47.2068
20.3	50	47.2068
20.31	50	47.2068
20.32	50	47.2068
20.33	50	47.2068
20.34	50	47.2068
20.35	50	47.2068
20.36	50	47.2068
20.37	50	47.2068
20.38	50	47.2068
20.39	50	47.2068
20.4	50	47.2068
20.41	50	47.2068
20.42	50	47.2068
20.43	50	47.2068
20.44	50	47.2068
20.45	50	47.2068
20.46	50	47.2068
20.47	50	47.2068
20.48	50	47.2068
20.49	50	47.2068
20.5	50	47.2068
20.51	50	47.2068
20.52	50	47.2068
20.53	50	47.2068
20.54	50	47.2068
20.55	50	47.2068
20.56	50	47.2068
20.57	50	47.2068
20.58	50	47.2068
20.59	50	47.2068
20.6	50	47.2068
20.61	50	47.2068
20.62	50	47.2068
20.63	50	47.2068
20.64	50	47.2068
20.65	50	47.2068
20.66	50	47.2068
20.67	50	47.2068
20.68	50	47.2068
20.69	50	47.2068
20.7	50	47.2068
20.71	50	47.2068
20.72	50	47.2068
20.73	50	47.2068
20.74	50	47.2068
20.75	50	47.2068
20.76	50	47.2068
20.77	50	47.2068
20.78	50	47.2068
20.79	50	47.2068
20.8	50	47.2068
20.81	50	47.2068
20.82	50	47.2068
20.83	50	47.2068
20.84	50	47.2068
20.85	50	47.2068
20.86	50	47.2068
20.87	50	47.2068
20.88	50	47.2068
20.89	50	47.2068
20.9	50	47.2068
20.91	50	47.2068
20.92	50	47.2068
20.93	50	47.2068
20.94	50	47.2068
20.95	50	47.2068
20.96	50	47.2068
20.97	50	47.2068
20.98	50	47.2068
20.99	50	47.2068
21	50	47.2068
21.01	50	47.2068
21.02	50	47.2068
21.03	50	47.2068
21.04	50	47.2068
21.05	50	47.2068
21.06	50	47.2068
21.07	50	47.2068
21.08	50	47.2068
21.09	50	47.2068
21.1	50	47.2068
21.11	50	47.2068
21.12	50	47.2068
21.13	50	47.2068
21.14	50	47.2068
21.15	50	47.2068
21.16	50	47.2068
21.17	50	47.2068
21.18	50	47.2068
21.19	50	47.2068
21.2	50	47.2068
21.21	50	47.2068
21.22	50	47.2068
21.23	50	47.2068
21.24	50	47.2068
21.25	50	47.2068
21.26	50	47.2068
21.27	50	47.2068
21.28	50	47.2068
21.29	50	47.2068
21.3	50	47.2068
21.31	50	47.2068
21.32	50	47.2068
21.33	50	47.2068
21.34	50	47.2068
21.35	50	47.2068
21.36	50	47.2068
21.37	50	47.2068
21.38	50	47.2068
21.39	50	47.2068
21.4	50	47.2068
21.41	50	47.2068
21.42	50	47.2068
21.43	50	47.2068
21.44	50	47.2068
21.45	50	47.2068
21.46	50	47.2068
21.47	50	47.2068
21.48	50	47.2068
21.49	50	47.2068
21.5	50	47.2068
21.51	50	47.2068
21.52	50	47.2068
21.53	50	47.2068
21.54	50	47.2068
21.55	50	47.2068
21.56	50	47.2068
21.57	50	47.2068
21.58	50	47.2068
21.59	50	47.2068
21.6	50	47.2068
21.61	50	47.2068
21.62	50	47.2068
21.63	50	47.2068
21.64	50	47.2068
21.65	50	47.2068
21.66	50	47.2068
21.67	50	47.2068
21.68	50	47.2068
21.69	50	47.2068
21.7	50	47.2068
21.71	50	47.2068
21.72	50	47.2068
21.73	50	47.2068
21.74	50	47.2068
21.75	50	47.2068
21.76	50	47.2068
21.77	50	47.2068
21.78	50	47.2068
21.79	50	47.2068
21.8	50	47.2068
21.81	50	47.2068
21.82	50	47.2068
21.83	50	47.2068
21.84	50	47.2068
21.85	50	47.2068
21.86	50	47.2068
21.87	50	47.2068
21.88	50	47.2068
21.89	50	47.2068
21.9	50	47.2068
21.91	50	47.2068
21.92	50	47.2068
21.93	50	47.2068
21.94	50	47.2068
21.95	50	47.2068
21.96	50	47.2068
21.97	50	47.2068
21.98	50	47.2068
21.99	50	47.2068
22	50	47.2068
22.01	50	47.2068
22.02	50	47.2068
22.03	50	47.2068
22.04	50	47.2068
22.05	50	47.2068
22.06	50	47.2068
22.07	50	47.2068
22.08	50	47.2068
22.09	50	47.2068
22.1	50	47.2068
22.11	50	47.2068
22.12	50	47.2068
22.13	50	47.2068
22.14	50	47.2068
22.15	50	47.2068
22.16	50	47.2068
22.17	50	47.2068
22.18	50	47.2068
22.19	50	47.2068
22.2	50	47.2068
22.21	50	47.2068
22.22	50	47.2068
22.23	50	47.2068
22.24	50	47.2068
22.25	50	47.2068
22.26	50	47.2068
22.27	50	47.2068
22.28	50	47.2068
22.29	50	47.2068
22.3	50	47.2068
22.31	50	47.2068
22.32	50	47.2068
22.33	50	47.2068
22.34	50	47.2068
22.35	50	47.2068
22.36	50	47.2068
22.37	50	47.2068
22.38	50	47.2068
22.39	50	47.2068
22.4	50	47.2068
22.41	50	47.2068
22.42	50	47.2068
22.43	50	47.2068
22.44	50	47.2068
22.45	50	47.2068
22.46	50	47.2068
22.47	50	47.2068
22.48	50	47.2068
22.49	50	47.2068
22.5	50	47.2068
22.51	50	47.2068
22.52	50	47.2068
22.53	50	47.2068
22.54	50	47.2068
22.55	50	47.2068
22.56	50	47.2068
22.57	50	47.2068
22.58	50	47.2068
22.59	50	47.2068
22.6	50	47.2068
22.61	50	47.2068
22.62	50	47.2068
22.63	50	47.2068
22.64	50	47.2068
22.65	50	47.2068
22.66	50	47.2068
22.67	50	47.2068
22.68	50	47.2068
22.69	50	47.2068
22.7	50	47.2068
22.71	50	47.2068
22.72	50	47.2068
22.73	50	47.2068
22.74	50	47.2068
22.75	50	47.2068
22.76	50	47.2068
22.77	50	47.2068
22.78	50	47.2068
22.79	50	47.2068
22.8	50	47.2068
22.81	50	47.2068
22.82	50	47.2068
22.83	50	47.2068
22.84	50	47.2068
22.85	50	47.2068
